rank,value,dtm,selfsym,nmoves,try_win,key_hex,board,paper_id,db_file,db_offset,paper_id_mirror,db_file_mirror,db_offset_mirror
507733,Win,1,0,12,1,00290009f00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|BBB|WWB/.|.|.|WWB|W,90721044212,db09.bin,1939104644,23954067100,db02.bin,4224747196
507735,Win,1,0,12,1,0029000dd00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|BWB|BWB/.|.|.|WWB|W,90721054837,db09.bin,1939115269,23954046301,db02.bin,4224726397
507736,Win,1,0,12,1,0029000db00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WBB|BWB/.|.|.|WWB|W,90721060150,db09.bin,1939120582,23954046302,db02.bin,4224726398
507738,Win,1,0,12,1,0029000bd00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|BWB|WBB/.|.|.|WWB|W,90721054838,db09.bin,1939115270,23954054101,db02.bin,4224734197
507739,Win,1,0,12,1,0029000bb00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WBB|WBB/.|.|.|WWB|W,90721060151,db09.bin,1939120583,23954054102,db02.bin,4224734198
507742,Win,1,0,12,1,0029000f900000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WWB|BBB/.|.|.|WWB|W,90721069004,db09.bin,1939129436,23954030702,db02.bin,4224710798
507754,Win,1,0,12,1,002d0009d00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|BWB|WWB/.|.|.|BWB|W,90260408476,db09.bin,1478468908,23879891807,db02.bin,4150571903
507755,Win,1,0,12,1,002d0009b00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WBB|WWB/.|.|.|BWB|W,90260413789,db09.bin,1478474221,23879891808,db02.bin,4150571904
507758,Win,1,0,12,1,002d000d900000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WWB|BWB/.|.|.|BWB|W,90260429727,db09.bin,1478490159,23879860608,db02.bin,4150540704
507761,Win,1,0,12,1,002d000b900000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WWB|WBB/.|.|.|BWB|W,90260429728,db09.bin,1478490160,23879868408,db02.bin,4150548504
507774,Win,1,0,12,1,002b0009d00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|BWB|WWB/.|.|.|WBB|W,90375216676,db09.bin,1593277108,23901815807,db02.bin,4172495903
507775,Win,1,0,12,1,002b0009b00000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WBB|WWB/.|.|.|WBB|W,90375221989,db09.bin,1593282421,23901815808,db02.bin,4172495904
507778,Win,1,0,12,1,002b000d900000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WWB|BWB/.|.|.|WBB|W,90375237927,db09.bin,1593298359,23901784608,db02.bin,4172464704
507781,Win,1,0,12,1,002b000b900000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WWB|WBB/.|.|.|WBB|W,90375237928,db09.bin,1593298360,23901792408,db02.bin,4172472504
507795,Win,1,0,12,1,002f0009900000000000000000000000,.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|WWB|WWB/.|.|.|BBB|W,90068315651,db09.bin,1286376083,23838978302,db02.bin,4109658398
43149966253,Win,1,0,12,0,0000000000000000000000990002f000,.|.|.|BBB|W/.|.|.|WWB|WWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969459596,db14.bin,9864220268,147959634328,db14.bin,9854395000
43149966258,Lose,4,0,12,0,00000000000000000000009d0002d000,.|.|.|BWB|W/.|.|.|BWB|WWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969396153,db14.bin,9864156825,147959628821,db14.bin,9854389493
43149966259,Win,1,0,12,0,00000000000000000000009d0002b000,.|.|.|WBB|W/.|.|.|BWB|WWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969396154,db14.bin,9864156826,147959628822,db14.bin,9854389494
43149966264,Win,1,0,12,0,00000000000000000000009b0002d000,.|.|.|BWB|W/.|.|.|WBB|WWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969411993,db14.bin,9864172665,147959630669,db14.bin,9854391341
43149966265,Win,1,0,12,0,00000000000000000000009b0002b000,.|.|.|WBB|W/.|.|.|WBB|WWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969411994,db14.bin,9864172666,147959630670,db14.bin,9854391342
43149966271,Win,1,0,12,0,00000000000000000000009f00029000,.|.|.|WWB|W/.|.|.|BBB|WWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969370331,db14.bin,9864131003,147959625086,db14.bin,9854385758
43149966294,Lose,4,0,12,0,0000000000000000000000d90002d000,.|.|.|BWB|W/.|.|.|WWB|BWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969458538,db14.bin,9864219210,147958942667,db14.bin,9853703339
43149966295,Win,1,0,12,0,0000000000000000000000d90002b000,.|.|.|WBB|W/.|.|.|WWB|BWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969458539,db14.bin,9864219211,147958942668,db14.bin,9853703340
43149966301,Lose,4,0,12,0,0000000000000000000000dd00029000,.|.|.|WWB|W/.|.|.|BWB|BWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969394757,db14.bin,9864155429,147958935712,db14.bin,9853696384
43149966305,Win,1,0,12,0,0000000000000000000000db00029000,.|.|.|WWB|W/.|.|.|WBB|BWB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969410597,db14.bin,9864171269,147958937000,db14.bin,9853697672
43149966329,Win,1,0,12,0,0000000000000000000000b90002d000,.|.|.|BWB|W/.|.|.|WWB|WBB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969458898,db14.bin,9864219570,147959115413,db14.bin,9853876085
43149966330,Win,1,0,12,0,0000000000000000000000b90002b000,.|.|.|WBB|W/.|.|.|WWB|WBB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969458899,db14.bin,9864219571,147959115414,db14.bin,9853876086
43149966336,Win,1,0,12,0,0000000000000000000000bd00029000,.|.|.|WWB|W/.|.|.|BWB|WBB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969395017,db14.bin,9864155689,147959108458,db14.bin,9853869130
43149966340,Win,1,0,12,0,0000000000000000000000bb00029000,.|.|.|WWB|W/.|.|.|WBB|WBB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969410857,db14.bin,9864171529,147959109746,db14.bin,9853870418
43149966360,Win,1,0,12,0,0000000000000000000000f900029000,.|.|.|WWB|W/.|.|.|WWB|BBB/.|.|.|.|./.|.|.|.|./.|.|.|.|./.|.|.|.|.,147969457792,db14.bin,9864218464,147958664476,db14.bin,9853425148
