rank,value,expected_dtm,orientation,paper_id,db_offset,db_byte,result
43149966253,Win,1,primary,147969459596,9864220268,1,OK
43149966253,Win,1,mirror,147959634328,9854395000,1,OK
43149966258,Lose,4,primary,147969396153,9864156825,4,OK
43149966258,Lose,4,mirror,147959628821,9854389493,4,OK
43149966259,Win,1,primary,147969396154,9864156826,1,OK
43149966259,Win,1,mirror,147959628822,9854389494,1,OK
43149966264,Win,1,primary,147969411993,9864172665,1,OK
43149966264,Win,1,mirror,147959630669,9854391341,1,OK
43149966265,Win,1,primary,147969411994,9864172666,1,OK
43149966265,Win,1,mirror,147959630670,9854391342,1,OK
43149966271,Win,1,primary,147969370331,9864131003,1,OK
43149966271,Win,1,mirror,147959625086,9854385758,1,OK
43149966294,Lose,4,primary,147969458538,9864219210,4,OK
43149966294,Lose,4,mirror,147958942667,9853703339,4,OK
43149966295,Win,1,primary,147969458539,9864219211,1,OK
43149966295,Win,1,mirror,147958942668,9853703340,1,OK
43149966301,Lose,4,primary,147969394757,9864155429,4,OK
43149966301,Lose,4,mirror,147958935712,9853696384,4,OK
43149966305,Win,1,primary,147969410597,9864171269,1,OK
43149966305,Win,1,mirror,147958937000,9853697672,1,OK
43149966329,Win,1,primary,147969458898,9864219570,1,OK
43149966329,Win,1,mirror,147959115413,9853876085,1,OK
43149966330,Win,1,primary,147969458899,9864219571,1,OK
43149966330,Win,1,mirror,147959115414,9853876086,1,OK
43149966336,Win,1,primary,147969395017,9864155689,1,OK
43149966336,Win,1,mirror,147959108458,9853869130,1,OK
43149966340,Win,1,primary,147969410857,9864171529,1,OK
43149966340,Win,1,mirror,147959109746,9853870418,1,OK
43149966360,Win,1,primary,147969457792,9864218464,1,OK
43149966360,Win,1,mirror,147958664476,9853425148,1,OK
