# Full-space DTM distribution of 6x5 NOCCA x NOCCA (D1 convention: win=odd DTM, lose=even).
# Over all R_full=73,995,673,500 mirror-canonical representatives (reachable + unreachable).
# round(=DTM),win,lose
0,0,4459725
1,38827875334,0
2,0,11205692071
3,7571536145,0
4,0,3853771668
5,1498252292,0
6,0,1265331025
7,897013876,0
8,0,854469355
9,754686840,0
10,0,542790883
11,540210989,0
12,0,427859059
13,496464482,0
14,0,414568951
15,476172658,0
16,0,391234852
17,439337782,0
18,0,359342879
19,398467906,0
20,0,328178676
21,347040226,0
22,0,285331244
23,284302405,0
24,0,227611055
25,212087203,0
26,0,163846551
27,143606841,0
28,0,107781421
29,88076886,0
30,0,64033844
31,49809899,0
32,0,34842693
33,25776473,0
34,0,18069177
35,13039416,0
36,0,9255624
37,6363166,0
38,0,4731061
39,3141049,0
40,0,2561289
41,1713761,0
42,0,1561228
43,1013776,0
44,0,1000697
45,628509,0
46,0,663549
47,407958,0
48,0,439654
49,258397,0
50,0,267924
51,156929,0
52,0,152751
53,97477,0
54,0,88099
55,61902,0
56,0,55813
57,38796,0
58,0,32510
59,18296,0
60,0,14676
61,7454,0
62,0,4037
63,2653,0
64,0,1122
65,852,0
66,0,291
67,59,0
68,0,14
69,15,0
