# Table A.1: per-ply (=DTM) distribution over paper B's P set, pseudo-reachable (mirror-unfolded) counts.
# computed_pseudo = stage 3 R-to-P normalization: P = (R - (N - T)) union U.
# paperB = Yamamoto-Hoki (GPW 2022) Table A.1.
# diff = computed - paperB. (The GPW PDF truncates ply 48; the journal version gives 879,284.)
ply,kind,computed_pseudo,paperB,diff
1,win,77645562828,77645562828,0
2,lose,22410730165,22410730165,0
3,win,15142536934,15142536934,0
4,lose,7707358885,7707358885,0
5,win,2996378622,2996378622,0
6,lose,2530587844,2530587844,0
7,win,1793971952,1793971952,0
8,lose,1708892403,1708892403,0
9,win,1509313136,1509313136,0
10,lose,1085543075,1085543075,0
11,win,1080382276,1080382276,0
12,lose,855684894,855684894,0
13,win,992892748,992892748,0
14,lose,829104200,829104200,0
15,win,952307416,952307416,0
16,lose,782437940,782437940,0
17,win,878640363,878640363,0
18,lose,718653702,718653702,0
19,win,796900982,796900982,0
20,lose,656328294,656328294,0
21,win,694050711,694050711,0
22,lose,570638553,570638553,0
23,win,568580405,568580405,0
24,lose,455202391,455202391,0
25,win,424155415,424155415,0
26,lose,327678503,327678503,0
27,win,287199523,287199523,0
28,lose,215552713,215552713,0
29,win,176144437,176144437,0
30,lose,128061051,128061051,0
31,win,99613880,99613880,0
32,lose,69681294,69681294,0
33,win,51549796,51549796,0
34,lose,36136187,36136187,0
35,win,26077221,26077221,0
36,lose,18510133,18510133,0
37,win,12725495,12725495,0
38,lose,9461541,9461541,0
39,win,6281721,6281721,0
40,lose,5122307,5122307,0
41,win,3427186,3427186,0
42,lose,3122345,3122345,0
43,win,2027453,2027453,0
44,lose,2001316,2001316,0
45,win,1256933,1256933,0
46,lose,1327058,1327058,0
47,win,815882,815882,0
48,lose,879284,879284,0
49,win,516770,516770,0
50,lose,535828,535828,0
51,win,313835,313835,0
52,lose,305484,305484,0
53,win,194950,194950,0
54,lose,176195,176195,0
55,win,123798,123798,0
56,lose,111626,111626,0
57,win,77589,77589,0
58,lose,65019,65019,0
59,win,36591,36591,0
60,lose,29351,29351,0
61,win,14906,14906,0
62,lose,8074,8074,0
63,win,5305,5305,0
64,lose,2244,2244,0
65,win,1704,1704,0
66,lose,582,582,0
67,win,118,118,0
68,lose,28,28,0
69,win,30,30,0
